english,catalan,date
Remove,eliminar,2026-03-10 10:55:08.392634
Repair,reparació,2026-03-11 10:55:08.392634
Repeat,repetir,2026-03-12 10:55:08.392634
Return,tornar,2026-03-13 10:55:08.392634
Rotate,girar,2026-03-14 10:55:08.392634
Safety,seguretat,2026-03-15 10:55:08.392634
Salary,sou,2026-03-16 10:55:08.392634
Sample,mostra,2026-03-17 10:55:08.392634
School,escola,2026-03-18 10:55:08.392634
Screen,pantalla,2026-03-19 10:55:08.392634
Script,guió,2026-03-20 10:55:08.392634
Scroll,desplaçar-se,2026-03-21 10:55:08.392634
Search,cerca,2026-03-22 10:55:08.392634
Season,temporada,2026-03-23 10:55:08.392634
Secret,secret,2026-03-24 10:55:08.392634
Secure,segur,2026-03-25 10:55:08.392634
Select,seleccionar,2026-03-26 10:55:08.392634
Senior,major,2026-03-27 10:55:08.392634
Shield,escut,2026-03-28 10:55:08.392634
Should,hauria,2026-03-29 10:55:08.392634
Shower,dutxa,2026-03-30 10:55:08.392634
Silent,silenciós,2026-03-31 10:55:08.392634
Single,solter,2026-04-01 10:55:08.392634
Sister,germana,2026-04-02 10:55:08.392634
Smooth,llis,2026-04-03 10:55:08.392634
Social,socials,2026-04-04 10:55:08.392634
Speech,discurs,2026-04-05 10:55:08.392634
Street,carrer,2026-04-06 10:55:08.392634
Strong,fort,2026-04-07 10:55:08.392634
Sudden,de sobte,2026-04-08 10:55:08.392634
Summer,estiu,2026-04-09 10:55:08.392634
Supply,subministrament,2026-04-10 10:55:08.392634
Talent,talent,2026-04-11 10:55:08.392634
Temple,temple,2026-04-12 10:55:08.392634
Thread,fil,2026-04-13 10:55:08.392634
Thrill,emoció,2026-04-14 10:55:08.392634
Throat,gola,2026-04-15 10:55:08.392634
Tittle,títol,2026-04-16 10:55:08.392634
Toilet,lavabo,2026-04-17 10:55:08.392634
Tomato,tomàquet,2026-04-18 10:55:08.392634
Tongue,llengua,2026-04-19 10:55:08.392634
Travel,viatjar,2026-04-20 10:55:08.392634
Tunnel,túnel,2026-04-21 10:55:08.392634
Turtle,tortuga,2026-04-22 10:55:08.392634
Unseen,invisible,2026-04-23 10:55:08.392634
Update,actualitzar,2026-04-24 10:55:08.392634
Urgent,urgent,2026-04-25 10:55:08.392634
Useful,útil,2026-04-26 10:55:08.392634
Vacate,desallotjar,2026-04-27 10:55:08.392634
Vacuum,buit,2026-04-28 10:55:08.392634
Vapour,vapor,2026-04-29 10:55:08.392634
Verify,verificar,2026-04-30 10:55:08.392634
Virgin,verge,2026-05-01 10:55:08.392634
Wealth,riquesa,2026-05-02 10:55:08.392634
Weekly,setmanalment,2026-05-03 10:55:08.392634
Weight,pes,2026-05-04 10:55:08.392634
Winter,hivern,2026-05-05 10:55:08.392634
Winner,guanyador,2026-05-06 10:55:08.392634
Wonder,meravella,2026-05-07 10:55:08.392634
Worker,treballador,2026-05-08 10:55:08.392634
Writer,escriptor,2026-05-09 10:55:08.392634
Yearly,anualment,2026-05-10 10:55:08.392634
Achieve,aconseguir,2026-05-11 10:55:08.392634
Advance,avançar,2026-05-12 10:55:08.392634
Against,en contra,2026-05-13 10:55:08.392634
Already,ja,2026-05-14 10:55:08.392634
Ancient,antiga,2026-05-15 10:55:08.392634
Anybody,qualsevol,2026-05-16 10:55:08.392634
Approve,aprovar,2026-05-17 10:55:08.392634
Apology,disculpes,2026-05-18 10:55:08.392634
Archive,Arxiu,2026-05-19 10:55:08.392634
Arrange,arranjar,2026-05-20 10:55:08.392634
Arrival,arribada,2026-05-21 10:55:08.392634
Article,article,2026-05-22 10:55:08.392634
Attempt,intent,2026-05-23 10:55:08.392634
Attract,atreure,2026-05-24 10:55:08.392634
Average,mitjana,2026-05-25 10:55:08.392634
Bandage,embenatge,2026-05-26 10:55:08.392634
Barrage,barranca,2026-05-27 10:55:08.392634
Barrier,barrera,2026-05-28 10:55:08.392634
Because,perquè,2026-05-29 10:55:08.392634
Benefit,benefici,2026-05-30 10:55:08.392634
Between,entre,2026-05-31 10:55:08.392634
Cabbage,col,2026-06-01 10:55:08.392634
Capture,captura,2026-06-02 10:55:08.392634
Careful,amb compte,2026-06-03 10:55:08.392634
Carrier,portador,2026-06-04 10:55:08.392634
Century,segle,2026-06-05 10:55:08.392634
Certain,cert,2026-06-06 10:55:08.392634
Chamber,cambra,2026-06-07 10:55:08.392634
Chapter,capítol,2026-06-08 10:55:08.392634
Charity,caritat,2026-06-09 10:55:08.392634
Climate,clima,2026-06-10 10:55:08.392634
Coconut,coco,2026-06-11 10:55:08.392634
Collect,recollir,2026-06-12 10:55:08.392634
College,la universitat,2026-06-13 10:55:08.392634
Comfort,comoditat,2026-06-14 10:55:08.392634
Command,comandament,2026-06-15 10:55:08.392634
Comment,comentar,2026-06-16 10:55:08.392634
Company,empresa,2026-06-17 10:55:08.392634
Compare,comparar,2026-06-18 10:55:08.392634
Concept,concepte,2026-06-19 10:55:08.392634
Concern,preocupació,2026-06-20 10:55:08.392634
Conduct,conducta,2026-06-21 10:55:08.392634
Confirm,confirmar,2026-06-22 10:55:08.392634
Connect,connectar,2026-06-23 10:55:08.392634
Contact,contacte,2026-06-24 10:55:08.392634
Control,control,2026-06-25 10:55:08.392634
Convert,convertir,2026-06-26 10:55:08.392634
Correct,correcte,2026-06-27 10:55:08.392634
Costume,disfressa,2026-06-28 10:55:08.392634
Cottage,cabana,2026-06-29 10:55:08.392634
Country,país,2026-06-30 10:55:08.392634
Courage,coratge,2026-07-01 10:55:08.392634
Cucumber,cogombre,2026-07-02 10:55:08.392634
Curious,curiós,2026-07-03 10:55:08.392634
Declare,declarar,2026-07-04 10:55:08.392634
Defense,defensa,2026-07-05 10:55:08.392634
Dentist,dentista,2026-07-06 10:55:08.392634
Deposit,dipòsit,2026-07-07 10:55:08.392634
,,2026-07-08 10:55:08.392634
,,2026-07-09 10:55:08.392634
Despite,malgrat,2026-07-10 10:55:08.392634
Destiny,el destí,2026-07-11 10:55:08.392634
Destroy,destruir,2026-07-12 10:55:08.392634
Develop,desenvolupar,2026-07-13 10:55:08.392634
Disease,malaltia,2026-07-14 10:55:08.392634
Display,visualització,2026-07-15 10:55:08.392634
Disturb,molestar,2026-07-16 10:55:08.392634
Dynasty,dinastia,2026-07-17 10:55:08.392634
Eagerly,ansiosament,2026-07-18 10:55:08.392634
Earning,guanyant,2026-07-19 10:55:08.392634
Eatable,comestible,2026-07-20 10:55:08.392634
Ecology,ecologia,2026-07-21 10:55:08.392634
Economy,economia,2026-07-22 10:55:08.392634
Edition,edició,2026-07-23 10:55:08.392634
Elegant,elegant,2026-07-24 10:55:08.392634
Enhance,millorar,2026-07-25 10:55:08.392634
Episode,episodi,2026-07-26 10:55:08.392634
Example,exemple,2026-07-27 10:55:08.392634
Evening,vespre,2026-07-28 10:55:08.392634
Exclude,excloure,2026-07-29 10:55:08.392634
Explain,explicar,2026-07-30 10:55:08.392634
Explore,explorar,2026-07-31 10:55:08.392634
Educate,educar,2026-08-01 10:55:08.392634
Factory,fàbrica,2026-08-02 10:55:08.392634
Failure,fracàs,2026-08-03 10:55:08.392634
Feature,característica,2026-08-04 10:55:08.392634
Finance,Finances,2026-08-05 10:55:08.392634
Flavour,sabor,2026-08-06 10:55:08.392634
Fluency,fluïdesa,2026-08-07 10:55:08.392634
Forever,per sempre,2026-08-08 10:55:08.392634
Further,més lluny,2026-08-09 10:55:08.392634
Garment,peça,2026-08-10 10:55:08.392634
General,general,2026-08-11 10:55:08.392634
Genuine,genuí,2026-08-12 10:55:08.392634
Glamour,glamour,2026-08-13 10:55:08.392634
Grammar,gramàtica,2026-08-14 10:55:08.392634
Grocery,botiga de queviures,2026-08-15 10:55:08.392634
Habitat,habitat,2026-08-16 10:55:08.392634
Harmful,nocius,2026-08-17 10:55:08.392634
Harvest,collita,2026-08-18 10:55:08.392634
Heading,encapçalament,2026-08-19 10:55:08.392634
Hearing,audició,2026-08-20 10:55:08.392634
Helpful,útil,2026-08-21 10:55:08.392634
History,història,2026-08-22 10:55:08.392634
Holding,aguantant,2026-08-23 10:55:08.392634
Holiday,festa,2026-08-24 10:55:08.392634
Hundred,cent,2026-08-25 10:55:08.392634
Husband,marit,2026-08-26 10:55:08.392634
Hygiene,higiene,2026-08-27 10:55:08.392634
Impress,impressionar,2026-08-28 10:55:08.392634
Improve,millorar,2026-08-29 10:55:08.392634
Include,incloure,2026-08-30 10:55:08.392634
Initial,inicial,2026-08-31 10:55:08.392634
Inspect,inspeccionar,2026-09-01 10:55:08.392634
Inspire,inspirar,2026-09-02 10:55:08.392634
Journey,viatge,2026-09-03 10:55:08.392634
Justice,justícia,2026-09-04 10:55:08.392634
Leading,liderant,2026-09-05 10:55:08.392634
Leather,cuir,2026-09-06 10:55:08.392634
Leaving,marxant,2026-09-07 10:55:08.392634
Lecture,Conferència,2026-09-08 10:55:08.392634
,,2026-09-09 10:55:08.392634
,,2026-09-10 10:55:08.392634
Liberal,liberal,2026-09-11 10:55:08.392634
Lovable,estimable,2026-09-12 10:55:08.392634
Luggage,equipatge,2026-09-13 10:55:08.392634
Manager,gerent,2026-09-14 10:55:08.392634
Maximum,màxim,2026-09-15 10:55:08.392634
Meaning,significat,2026-09-16 10:55:08.392634
Measure,mesura,2026-09-17 10:55:08.392634
Medical,mèdic,2026-09-18 10:55:08.392634
Message,missatge,2026-09-19 10:55:08.392634
Migrant,migrant,2026-09-20 10:55:08.392634
Mineral,mineral,2026-09-21 10:55:08.392634
Minimum,mínim,2026-09-22 10:55:08.392634
Miracle,miracle,2026-09-23 10:55:08.392634
Missile,míssil,2026-09-24 10:55:08.392634
Missing,desaparegut,2026-09-25 10:55:08.392634
Mistake,errada,2026-09-26 10:55:08.392634
Morning,matí,2026-09-27 10:55:08.392634
Mustard,mostassa,2026-09-28 10:55:08.392634
Mystery,misteri,2026-09-29 10:55:08.392634
Narrate,narrar,2026-09-30 10:55:08.392634
Natural,natural,2026-10-01 10:55:08.392634
Naughty,entremaliat,2026-10-02 10:55:08.392634
Neglect,negligència,2026-10-03 10:55:08.392634
Neither,tampoc,2026-10-04 10:55:08.392634
Nervous,nerviós,2026-10-05 10:55:08.392634
Network,xarxa,2026-10-06 10:55:08.392634
Nothing,res,2026-10-07 10:55:08.392634
Observe,observar,2026-10-08 10:55:08.392634
Opening,obertura,2026-10-09 10:55:08.392634
Operate,funcionar,2026-10-10 10:55:08.392634
Opinion,opinió,2026-10-11 10:55:08.392634
Organic,orgànica,2026-10-12 10:55:08.392634
Ostrich,estruç,2026-10-13 10:55:08.392634
Package,paquet,2026-10-14 10:55:08.392634
Painful,dolorós,2026-10-15 10:55:08.392634
Partial,parcial,2026-10-16 10:55:08.392634
Passage,passatge,2026-10-17 10:55:08.392634
Patient,pacient,2026-10-18 10:55:08.392634
Payment,pagament,2026-10-19 10:55:08.392634
Penalty,penalització,2026-10-20 10:55:08.392634
Pending,pendents,2026-10-21 10:55:08.392634
Penguin,pingüí,2026-10-22 10:55:08.392634
Pension,pensió,2026-10-23 10:55:08.392634
Perfect,perfecte,2026-10-24 10:55:08.392634
Perfume,perfum,2026-10-25 10:55:08.392634
Popular,popular,2026-10-26 10:55:08.392634
Pottery,ceràmica,2026-10-27 10:55:08.392634
Poverty,pobresa,2026-10-28 10:55:08.392634
Prevent,prevenir,2026-10-29 10:55:08.392634
Privacy,privadesa,2026-10-30 10:55:08.392634
Private,privat,2026-10-31 10:55:08.392634
Problem,problema,2026-11-01 10:55:08.392634
Produce,produir,2026-11-02 10:55:08.392634
Propose,proposar,2026-11-03 10:55:08.392634
Purpose,propòsit,2026-11-04 10:55:08.392634
Quality,qualitat,2026-11-05 10:55:08.392634
Quickly,ràpidament,2026-11-06 10:55:08.392634
Receive,rebre,2026-11-07 10:55:08.392634
,,2026-11-08 10:55:08.392634
,,2026-11-09 10:55:08.392634
Regular,regular,2026-11-10 10:55:08.392634
Related,relacionats,2026-11-11 10:55:08.392634
Release,alliberar,2026-11-12 10:55:08.392634
Replace,substituir,2026-11-13 10:55:08.392634
Reptile,rèptil,2026-11-14 10:55:08.392634
Request,petició,2026-11-15 10:55:08.392634
Respect,respecte,2026-11-16 10:55:08.392634
Respond,respondre,2026-11-17 10:55:08.392634
Revenge,venjança,2026-11-18 10:55:08.392634
Revenue,ingressos,2026-11-19 10:55:08.392634
Reverse,revés,2026-11-20 10:55:08.392634
Robbery,robatori,2026-11-21 10:55:08.392634
Romance,romanç,2026-11-22 10:55:08.392634
Science,ciència,2026-11-23 10:55:08.392634
Serious,seriós,2026-11-24 10:55:08.392634
Servant,servent,2026-11-25 10:55:08.392634
Service,servei,2026-11-26 10:55:08.392634
Similar,semblants,2026-11-27 10:55:08.392634
Society,societat,2026-11-28 10:55:08.392634
Sparrow,pardal,2026-11-29 10:55:08.392634
Special,especial,2026-11-30 10:55:08.392634
Stomach,estómac,2026-12-01 10:55:08.392634
Student,estudiant,2026-12-02 10:55:08.392634
Success,èxit,2026-12-03 10:55:08.392634
Suggest,suggerir,2026-12-04 10:55:08.392634
Suicide,suïcidi,2026-12-05 10:55:08.392634
Support,suport,2026-12-06 10:55:08.392634
Suspend,suspendre,2026-12-07 10:55:08.392634
Teacher,professor,2026-12-08 10:55:08.392634
Teenage,adolescent,2026-12-09 10:55:08.392634
Tension,tensió,2026-12-10 10:55:08.392634
Tourism,turisme,2026-12-11 10:55:08.392634
Trouble,problemes,2026-12-12 10:55:08.392634
Uniform,uniforme,2026-12-13 10:55:08.392634
Utility,utilitat,2026-12-14 10:55:08.392634
Vacancy,vacant,2026-12-15 10:55:08.392634
Variety,varietat,2026-12-16 10:55:08.392634
Vehicle,vehicle,2026-12-17 10:55:08.392634
Village,poble,2026-12-18 10:55:08.392634
Vintage,vintage,2026-12-19 10:55:08.392634
Victory,victòria,2026-12-20 10:55:08.392634
Violent,violents,2026-12-21 10:55:08.392634
Visible,visible,2026-12-22 10:55:08.392634
Visitor,visitant,2026-12-23 10:55:08.392634
Vitamin,vitamina,2026-12-24 10:55:08.392634
Walking,caminant,2026-12-25 10:55:08.392634
Wanting,voler,2026-12-26 10:55:08.392634
Warning,advertència,2026-12-27 10:55:08.392634
Wealthy,rics,2026-12-28 10:55:08.392634
Weather,el temps,2026-12-29 10:55:08.392634
Wedding,casament,2026-12-30 10:55:08.392634
Welcome,Benvingut,2026-12-31 10:55:08.392634
Welfare,benestar,2027-01-01 10:55:08.392634
Winning,guanyant,2027-01-02 10:55:08.392634
Working,treball,2027-01-03 10:55:08.392634
Worried,preocupat,2027-01-04 10:55:08.392634
Worship,adoració,2027-01-05 10:55:08.392634
Writing,escriptura,2027-01-06 10:55:08.392634
Abnormal,anormal,2027-01-07 10:55:08.392634
Absolute,absolut,2027-01-08 10:55:08.392634
Accepted,acceptat,2027-01-09 10:55:08.392634
Accident,accident,2027-01-10 10:55:08.392634
Accuracy,precisió,2027-01-11 10:55:08.392634
Activate,activar,2027-01-12 10:55:08.392634
Addition,addició,2027-01-13 10:55:08.392634
Adequate,adequat,2027-01-14 10:55:08.392634
Affected,afectats,2027-01-15 10:55:08.392634
Alphabet,alfabet,2027-01-16 10:55:08.392634
Anything,qualsevol cosa,2027-01-17 10:55:08.392634
Anywhere,on sigui,2027-01-18 10:55:08.392634
Appraise,valorar,2027-01-19 10:55:08.392634
Approach,enfocament,2027-01-20 10:55:08.392634
Approval,aprovació,2027-01-21 10:55:08.392634
Argument,argument,2027-01-22 10:55:08.392634
Assemble,muntar,2027-01-23 10:55:08.392634
Attitude,actitud,2027-01-24 10:55:08.392634
Audience,públic,2027-01-25 10:55:08.392634
Attorney,advocat,2027-01-26 10:55:08.392634
Aviation,aviació,2027-01-27 10:55:08.392634
Backward,cap enrere,2027-01-28 10:55:08.392634
Beginner,principiant,2027-01-29 10:55:08.392634
Birthday,aniversari,2027-01-30 10:55:08.392634
Bleeding,sagnant,2027-01-31 10:55:08.392634
Building,edifici,2027-02-01 10:55:08.392634
Campaign,campanya,2027-02-02 10:55:08.392634
Carriage,carruatge,2027-02-03 10:55:08.392634
Children,nens,2027-02-04 10:55:08.392634
Cleavage,escot,2027-02-05 10:55:08.392634
Complete,completa,2027-02-06 10:55:08.392634
Conserve,conservar,2027-02-07 10:55:08.392634
Consider,considerar,2027-02-08 10:55:08.392634
Consumer,consumidor,2027-02-09 10:55:08.392634
Continue,continuar,2027-02-10 10:55:08.392634
Criminal,criminal,2027-02-11 10:55:08.392634
Critical,crític,2027-02-12 10:55:08.392634
Daughter,filla,2027-02-13 10:55:08.392634
Decision,decisió,2027-02-14 10:55:08.392634
Decrease,disminuir,2027-02-15 10:55:08.392634
Delicate,delicat,2027-02-16 10:55:08.392634
Delivery,lliurament,2027-02-17 10:55:08.392634
Delusion,il·lusió,2027-02-18 10:55:08.392634
Describe,descriure,2027-02-19 10:55:08.392634
Disagree,discrepar,2027-02-20 10:55:08.392634
Disallow,desautoritzar,2027-02-21 10:55:08.392634
Duration,durada,2027-02-22 10:55:08.392634
,,2027-02-23 10:55:08.392634
,,2027-02-24 10:55:08.392634
Economic,econòmica,2027-02-25 10:55:08.392634
Elephant,elefant,2027-02-26 10:55:08.392634
Eligible,elegible,2027-02-27 10:55:08.392634
Employee,empleat,2027-02-28 10:55:08.392634
Enormous,enorme,2027-03-01 10:55:08.392634
Entrance,entrada,2027-03-02 10:55:08.392634
Envelope,sobre,2027-03-03 10:55:08.392634
Estimate,estimació,2027-03-04 10:55:08.392634
Everyday,cada dia,2027-03-05 10:55:08.392634
Exercise,exercici,2027-03-06 10:55:08.392634
Explicit,explícit,2027-03-07 10:55:08.392634
Exposure,exposició,2027-03-08 10:55:08.392634
External,extern,2027-03-09 10:55:08.392634
Facility,instal·lació,2027-03-10 10:55:08.392634
Faithful,fidel,2027-03-11 10:55:08.392634
Favorite,favorit,2027-03-12 10:55:08.392634
Festival,Festival,2027-03-13 10:55:08.392634
Flexible,flexible,2027-03-14 10:55:08.392634
Friction,fricció,2027-03-15 10:55:08.392634
Generate,generar,2027-03-16 10:55:08.392634
Greeting,salutació,2027-03-17 10:55:08.392634
Guardian,guardià,2027-03-18 10:55:08.392634
Heritage,patrimoni,2027-03-19 10:55:08.392634
Horrible,horrible,2027-03-20 10:55:08.392634
Hospital,hospital,2027-03-21 10:55:08.392634
Humorous,humorístic,2027-03-22 10:55:08.392634
Identity,identitat,2027-03-23 10:55:08.392634
Incident,incident,2027-03-24 10:55:08.392634
Increase,augmentar,2027-03-25 10:55:08.392634
Indicate,indicar,2027-03-26 10:55:08.392634
Industry,indústria,2027-03-27 10:55:08.392634
Jealousy,gelosia,2027-03-28 10:55:08.392634
Learning,aprenentatge,2027-03-29 10:55:08.392634
Location,ubicació,2027-03-30 10:55:08.392634
Majority,majoria,2027-03-31 10:55:08.392634
Marriage,matrimoni,2027-04-01 10:55:08.392634
Material,material,2027-04-02 10:55:08.392634
Medicine,medicament,2027-04-03 10:55:08.392634
Moderate,moderada,2027-04-04 10:55:08.392634
Mosquito,mosquit,2027-04-05 10:55:08.392634
Mountain,muntanya,2027-04-06 10:55:08.392634
Narrator,narrador,2027-04-07 10:55:08.392634
Nutrient,nutrient,2027-04-08 10:55:08.392634
Opposite,contrari,2027-04-09 10:55:08.392634
Original,original,2027-04-10 10:55:08.392634
Ornament,ornament,2027-04-11 10:55:08.392634
Painting,pintura,2027-04-12 10:55:08.392634
Particle,partícula,2027-04-13 10:55:08.392634
Patience,paciència,2027-04-14 10:55:08.392634
Pleasure,plaer,2027-04-15 10:55:08.392634
Position,posició,2027-04-16 10:55:08.392634
Positive,positiu,2027-04-17 10:55:08.392634
,,2027-04-18 10:55:08.392634
,,2027-04-19 10:55:08.392634
Possible,possible,2027-04-20 10:55:08.392634
Postpone,posposar,2027-04-21 10:55:08.392634
Powerful,potent,2027-04-22 10:55:08.392634
Precious,preciós,2027-04-23 10:55:08.392634
Pregnant,embarassada,2027-04-24 10:55:08.392634
Pressure,pressió,2027-04-25 10:55:08.392634
Previous,anterior,2027-04-26 10:55:08.392634
Progress,"progrés, progressar",2027-04-27 10:55:08.392634
Prohibit,prohibit,2027-04-28 10:55:08.392634
Property,propietat,2027-04-29 10:55:08.392634
Purchase,compra,2027-04-30 10:55:08.392634
Quantity,quantitat,2027-05-01 10:55:08.392634
Recovery,recuperació,2027-05-02 10:55:08.392634
Regional,regional,2027-05-03 10:55:08.392634
Relevant,rellevants,2027-05-04 10:55:08.392634
Religion,religió,2027-05-05 10:55:08.392634
Remember,recorda,2027-05-06 10:55:08.392634
Research,recerca,2027-05-07 10:55:08.392634
Resource,recurs,2027-05-08 10:55:08.392634
Response,resposta,2027-05-09 10:55:08.392634
Restrict,restringir,2027-05-10 10:55:08.392634
Revision,revisió,2027-05-11 10:55:08.392634
Sensible,sensible,2027-05-12 10:55:08.392634
Sentence,frase,2027-05-13 10:55:08.392634
Separate,separat,2027-05-14 10:55:08.392634
Stranger,desconegut,2027-05-15 10:55:08.392634
Strategy,estratègia,2027-05-16 10:55:08.392634
Strength,força,2027-05-17 10:55:08.392634
Struggle,lluitar,2027-05-18 10:55:08.392634
Suitable,adequat,2027-05-19 10:55:08.392634
Superior,superior,2027-05-20 10:55:08.392634
Surprise,sorpresa,2027-05-21 10:55:08.392634
Swelling,inflor,2027-05-22 10:55:08.392634
Terrible,terrible,2027-05-23 10:55:08.392634
Together,junts,2027-05-24 10:55:08.392634
Tomorrow,demà,2027-05-25 10:55:08.392634
Training,formació,2027-05-26 10:55:08.392634
Transfer,transferència,2027-05-27 10:55:08.392634
Transmit,transmetre,2027-05-28 10:55:08.392634
Treasure,tresor,2027-05-29 10:55:08.392634
Umbrella,paraigua,2027-05-30 10:55:08.392634
Universe,univers,2027-05-31 10:55:08.392634
Vacation,vacances,2027-06-01 10:55:08.392634
Validate,validar,2027-06-02 10:55:08.392634
Vertical,vertical,2027-06-03 10:55:08.392634
Vigorous,vigorosa,2027-06-04 10:55:08.392634
Violence,violència,2027-06-05 10:55:08.392634
Vocation,vocació,2027-06-06 10:55:08.392634
Vomiting,vòmits,2027-06-07 10:55:08.392634
Wildlife,fauna salvatge,2027-06-08 10:55:08.392634
Yielding,cedint,2027-06-09 10:55:08.392634
Yourself,tu mateix,2027-06-10 10:55:08.392634
Youthful,juvenil,2027-06-11 10:55:08.392634
Accession,adhesió,2027-06-12 10:55:08.392634
Accessory,accessori,2027-06-13 10:55:08.392634
Accompany,acompanyar,2027-06-14 10:55:08.392634
Actualize,actualitzar,2027-06-15 10:55:08.392634
Admirable,admirable,2027-06-16 10:55:08.392634
Advantage,avantatge,2027-06-17 10:55:08.392634
Advisable,recomanable,2027-06-18 10:55:08.392634
Affection,afecte,2027-06-19 10:55:08.392634
Affiliate,afiliat,2027-06-20 10:55:08.392634
Afternoon,tarda,2027-06-21 10:55:08.392634
Aggregate,agregat,2027-06-22 10:55:08.392634
Agreement,acord,2027-06-23 10:55:08.392634
Allowance,subsidi,2027-06-24 10:55:08.392634
Alternate,alternar,2027-06-25 10:55:08.392634
Ambiguous,ambigu,2027-06-26 10:55:08.392634
Animation,animació,2027-06-27 10:55:08.392634
Apologist,apologeta,2027-06-28 10:55:08.392634
Applicant,sol · licitant,2027-06-29 10:55:08.392634
Architect,arquitecte,2027-06-30 10:55:08.392634
Associate,associat,2027-07-01 10:55:08.392634
Astronomy,astronomia,2027-07-02 10:55:08.392634
Attention,atenció,2027-07-03 10:55:08.392634
Attribute,atribut,2027-07-04 10:55:08.392634
Authority,autoritat,2027-07-05 10:55:08.392634
Automatic,automàtic,2027-07-06 10:55:08.392634
Available,disponible,2027-07-07 10:55:08.392634
Awareness,consciència,2027-07-08 10:55:08.392634
Beautiful,bonic,2027-07-09 10:55:08.392634
Behaviour,comportament,2027-07-10 10:55:08.392634
Butterfly,papallona,2027-07-11 10:55:08.392634
Calibrate,calibrar,2027-07-12 10:55:08.392634
Candidate,candidat,2027-07-13 10:55:08.392634
Celebrate,celebrar,2027-07-14 10:55:08.392634
Challenge,desafiament,2027-07-15 10:55:08.392634
Confident,confiat,2027-07-16 10:55:08.392634
Confusion,confusió,2027-07-17 10:55:08.392634
Conscious,conscient,2027-07-18 10:55:08.392634
Crocodile,cocodril,2027-07-19 10:55:08.392634
Curiosity,curiositat,2027-07-20 10:55:08.392634
Dangerous,perillós,2027-07-21 10:55:08.392634
Delicious,deliciós,2027-07-22 10:55:08.392634
Democracy,democràcia,2027-07-23 10:55:08.392634
Dependent,dependent,2027-07-24 10:55:08.392634
Different,diferents,2027-07-25 10:55:08.392634
Difficult,difícil,2027-07-26 10:55:08.392634
Discovery,descobriment,2027-07-27 10:55:08.392634
Dishonest,deshonest,2027-07-28 10:55:08.392634
Diversity,diversitat,2027-07-29 10:55:08.392634
Duplicate,duplicar,2027-07-30 10:55:08.392634
Education,educació,2027-07-31 10:55:08.392634
Effective,efectiu,2027-08-01 10:55:08.392634
Emergency,emergència,2027-08-02 10:55:08.392634
Equipment,equipament,2027-08-03 10:55:08.392634
Essential,essencial,2027-08-04 10:55:08.392634
Establish,establir,2027-08-05 10:55:08.392634
Evolution,evolució,2027-08-06 10:55:08.392634
Excellent,excel · lent,2027-08-07 10:55:08.392634
Expensive,car,2027-08-08 10:55:08.392634
,,2027-08-09 10:55:08.392634
,,2027-08-10 10:55:08.392634
Fantastic,fantàstic,2027-08-11 10:55:08.392634
Fertility,fertilitat,2027-08-12 10:55:08.392634
Financial,financera,2027-08-13 10:55:08.392634
Generally,en general,2027-08-14 10:55:08.392634
Glamorous,glamurosa,2027-08-15 10:55:08.392634
Happening,passant,2027-08-16 10:55:08.392634
Household,llar,2027-08-17 10:55:08.392634
Identical,idèntics,2027-08-18 10:55:08.392634
Important,important,2027-08-19 10:55:08.392634
Incorrect,incorrecte,2027-08-20 10:55:08.392634
Incorrupt,incorrupta,2027-08-21 10:55:08.392634
Influence,influència,2027-08-22 10:55:08.392634
Insurance,assegurança,2027-08-23 10:55:08.392634
Interview,entrevista,2027-08-24 10:55:08.392634
Intestine,intestí,2027-08-25 10:55:08.392634
Introduce,introduir,2027-08-26 10:55:08.392634
Invention,invenció,2027-08-27 10:55:08.392634
Invisible,invisible,2027-08-28 10:55:08.392634
Irregular,irregular,2027-08-29 10:55:08.392634
Jewellery,joies,2027-08-30 10:55:08.392634
Knowledge,coneixement,2027-08-31 10:55:08.392634
Liability,responsabilitat,2027-09-01 10:55:08.392634
Misbehave,comportar-se malament,2027-09-02 10:55:08.392634
Narration,narració,2027-09-03 10:55:08.392634
Necessity,necessitat,2027-09-04 10:55:08.392634
Negotiate,negociar,2027-09-05 10:55:08.392634
Nutrition,nutrició,2027-09-06 10:55:08.392634
Offensive,ofensiu,2027-09-07 10:55:08.392634
Partition,partició,2027-09-08 10:55:08.392634
Political,polític,2027-09-09 10:55:08.392634
Pollution,Pol · lució,2027-09-10 10:55:08.392634
Potential,potencial,2027-09-11 10:55:08.392634
Practical,pràctic,2027-09-12 10:55:08.392634
Precision,precisió,2027-09-13 10:55:08.392634
Privilege,privilegi,2027-09-14 10:55:08.392634
Procedure,procediment,2027-09-15 10:55:08.392634
Prominent,destacat,2027-09-16 10:55:08.392634
Professor,professor,2027-09-17 10:55:08.392634
Promotion,promoció,2027-09-18 10:55:08.392634
Provoking,provocant,2027-09-19 10:55:08.392634
Qualified,qualificat,2027-09-20 10:55:08.392634
Reference,referència,2027-09-21 10:55:08.392634
Repulsion,repulsió,2027-09-22 10:55:08.392634
Residence,residència,2027-09-23 10:55:08.392634
Sacrifice,sacrifici,2027-09-24 10:55:08.392634
Sensitive,sensible,2027-09-25 10:55:08.392634
Something,alguna cosa,2027-09-26 10:55:08.392634
Statement,declaració,2027-09-27 10:55:08.392634
Subscribe,subscriu-te,2027-09-28 10:55:08.392634
